CARGO_ID,COLABORADOR_ID,DS_CARGO,DS_LOTACAO,DS_PERIODO,DS_ATIVIDADES,PERCENTUAL,DT_INICIO,DT_FIM,LOTACAO_ID,TIPO_CARGO_ID,TIPO_CARGO_ESPEC_ID,ID_REPRESENTACAO,TERMO_POSSE,TERM_ATTACH_MIMETYPE,TERM_ATTACH_FILENAME,TERM_ATTACH_CHARSET,TERM_ATTACH_LAST_UPDATE,CARGO_ATTACH,CARGO_ATTACH_MIMETYPE,CARGO_ATTACH_FILENAME,CARGO_ATTACH_CHARSET,CARGO_ATTACH_LAST_UPDATE
194,113,Conselheiro Deliberativo Titular,,29/01/2015 a 31/12/2017,Assumiu a suplência do Molina pela vacância. Encerrou o mandato como suplente para assumir titularidade no lugar no Ademir. ,1,,,,18,,,[unsupported data type],,,,,[unsupported data type],,,,
207,145,Secretária Executiva,,Julho 2018 - atual,"Secretariar as reuniões da Diretoria-Executiva, Comitês e Conselhos, visando registrar as informações por meio da edição de atas e deliberações de cada órgão.  Executar as atividades pertinentes do Gabinete, tais como: controle de agenda; redigir documentos; arquivar documentos, por meio eletrônico ou físico; organizar reuniões; contribuir com o processo de comunicação entre os Órgãos Estatutários e o corpo técnico; ser agente facilitador entre a Diretoria e os Gerentes.",1,01/07/18,,2,2,,,[unsupported data type],,,,,[unsupported data type],,,,
232,216,Desenvolvedor I ,,,"Realizar o desenvolvimento de sistemas conforme os requisitos estabelecidos; Realizar testes de validação dos sistemas para garantir seu funcionamento frente aos requisitos estabelecidos; Treinar e dar suporte aos usuários de sistemas para que estes consigam utilizar os recursos de TI e sistemas disponíveis de forma otimizada; Gerar informações utilizando base de dados existentes para suporte à tomada de decisão das diversas áreas; Manter a integridade e a segurança dos dados armazenados, garantido a confiabilidade das informações; Validar novas tecnologias na área de TI para atender necessidades internas e/ou exigências de órgãos reguladores; Realizar outras atividades compatíveis com a função quando delegado pelo gestor ou Entidade. ",1,07/01/19,,1,2,,,[unsupported data type],,,,,[unsupported data type],,,,
25,61,Assistente Administrativo Previdenciário,DVGP,06/05/2009 a 01/014/2012,"Assistente administrativo na área previdenciária, trabalhei com a elaboração de documentos para correspondência, controles de processos e documentos (envio e recebimento), separação de documentos a serem digitalizados.",1,06/05/09,01/04/12,9,1,,,[unsupported data type],,,,,[unsupported data type],,,,
26,61,Analista Júnior RH,DVGA,02/04/2012 a 30/11/2015,"Analista Júnior em RH, responsável pelo cálculo da folha, férias, 13º salário, contratação de novos empregados/estagiários, rescisão, treinamentos, exames periódicos, reembolso incentivo educação, prestação de contas de viagens, SEFIP/GFIP, CAGED, PIS, DIRF, PAT, RAIS, CAT, Ponto Eletrônico, entre outros.",1,02/04/12,30/11/15,4,2,,,[unsupported data type],,,,,[unsupported data type],,,,
47,77,Analista de Compliance,ASGC,Março de 2012 até Junho de 2012,"Principais atividades: identificação e classificação dos riscos intrínsecos às atividades da fundação no desempenho de seus processos e rotinas, avaliação da efetividade dos controles internos associados aos riscos, realização de testes regulares de aderência para aferir a existência de conformidade na execução das atividades, realização de testes de compliance das legislações aplicáveis ao segmento de mercado de capitais, administração de planos de saúde e previdência complementar fechada, emissão de pareceres de controles internos e compliance para subsidio do Conselho Fiscal.",1,01/03/12,01/06/12,,3,,,[unsupported data type],,,,,[unsupported data type],,,,
50,29,Datilógrafo,DVGS,01/01/1989,"Apoio administrativo a Divisão Assistencial, no setor de cadastro do Plano de Saúde",1,01/01/89,28/02/99,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
53,29,Auxiliar de Adm A,DVGS,01/07/1990,"Apoio Administrativo a Divisão Assistencial, no setor de Cadastro do Plano de Saúde",1,01/07/90,01/10/96,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
59,97,Estagiário,,02/01/2014 a 30/05/2014,"Análise da documentação relativa as solicitações de empréstimos; envio de correspondências para inadimplentes de empréstimo; criação de planilhas de controles; lançamentos de faturas no Contas a Pagar; arquivo de documentos diversos (RH, Empréstimo e Digitalização).",1,02/01/14,30/05/14,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
84,145,Assistente Administrativo - Secretária,DVGE,Novembro 2015 - Junho 2018,"Apoiar a Secretária Executiva nos assuntos diários; Reserva de salas e preparação de reuniões; Compra de passagens e reservas de hospedagem; Relatórios e controle de gastos em viagem; Redação de Atas, Memorandos e demais correspondências internas e externas; Protocolo de documento; Gerenciamento de arquivo.",1,18/11/15,30/06/18,2,1,,,[unsupported data type],,,,,[unsupported data type],,,,
75,96,Assistente Administrativo,DVGA ,Dezembro 2015 (Em andamento),"Responsável pela contratação de novos empregados/estagiários, rescisão, treinamentos, exames periódicos,vale alimentação e refeição, , prestação de contas de viagens, ponto eletrônico, vale transporte, folha de pagamento dos empregados da CELOS, entre outros.    ",1,01/12/15,30/04/19,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
98,61,Analista Júnior em Gestão de Pessoas,DVGE,01/12/2015 a 31/12/2016,"Dar suporte administrativo e operacional de secretaria da Diretoria Executiva e dos Conselhos Fiscal e Deliberativo; Contribuir com a organização de eventos institucionais, bem como auxiliar na preparação e registro das reuniões dos órgãos estatutários; Disponibilizar na Intranet documentos institucionais; Atender o público interno e externo; Realizar a gestão da informação dos documentos em meio eletrônico e físico; Realizar o controle e acompanhamento do Plano de Carreira e Remuneração; Participar do Processo de Recrutamento e Seleção; Acompanhar a aplicação da Avaliação de Desempenho; Realizar o controle e acompanhamento do Programa de Treinamentos e do Programa de Incentivo a Educação Profissional; Contribuir para disseminar a metodologia, melhores práticas e cultura de gerenciamento de projetos (PMI); Contribuir com a definição de padrões a serem adotados no gerenciamento de projetos, e demais atividades relacionados a Gestão de Pessoas. ",1,01/12/15,31/12/16,2,2,,,[unsupported data type],,,,,[unsupported data type],,,,
120,86,Assistente Administrativo,DVGC,01/08/2012,"Conciliação contas Passivo que não necessitam de importação do Gestão; Fechamento Patrimônio; Integração Movimento Odonto: Validação do arquivo, importação, conciliação;	Integração Movimento Médico: Validação do arquivo, importação, conciliação;	Conciliação das contas de Resultado; Fechamento Investimento;	Assim que fecha faturamento, consistir arquivo de anulação, conciliando as contas do Ativo Mensal e Ativo em Atraso; Conferir contas 3 e 4 para envio do arquivo para a Rodarte fazer o cálculo da PEONA; Lançamento PEONA na contabilidade; Fazer o pedido de aplicação para cobertura da PEONA, caso necessário; Lançamento Provisão de Ressarcimento ao SUS, caso necessário; Exclusão da provisão de INSS Unimed/Uniodonto da conta 215319011; Após fechamento da Base, fazer lançamento nas contas de provisão de PIS e COFINS e INSS (Ativo e Passivo); Lançamento PPSC com base no arquivo emitido pelo Faturamento; Lançamento PGA; Conferência das demais contas, para gerar pagamentos entre planos, e após, fazer o fechamento da contabilidade.; Lançamento contabilidade assistencial na previdência.  ",1,01/08/12,30/06/18,6,1,,,[unsupported data type],,,,,[unsupported data type],,,,
121,85,Assistente Administrativo ,Divisão de Gestão Contábil,13/06/2012,"Análise  dos dados para emissão das obrigações acessórias ; Análise dos Informes de rendimentos , para transmissão da DIRF; Análise e geração da base de cálculo para PIS e da COFINS; Análise das retenções de tributos sobre documentos recebidos da tesouraria e das áreas; Acompanhamento do Portal da Receita Federal; Parametrização de novos sistemas pertinentes a integração com a contabilidade; Auxílio e suporte a auditorias interna e externa; Conciliação mensal da contabilidade Previdenciária e Assistencial, bem como Investimentos; e integração demais sistemas; Suporte as áreas para correto lançamento dos sistemas controle financeiro, faturamento, contas a receber e contas a pagar; Auxílio as áreas para sanar problemas operacionais com reflexos contábeis.  ",1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
122,89,Analista Júnior,DVCI,01/07/2013 (atual),"Coordenador do Sistema de Gestão da Qualidade (Auditoria Interna), desenvolvendo o mapeamento dos processos, elaboração dos fluxogramas, revisão dos procedimentos operacionais (Financeiros, Contabilidade, Previdências, Saúde, Orçamentário, Atendimento ao participante, Cadastro e Investimentos) elaborados pelas áreas técnicas da Fundação, e realizar e gerenciar a análise de Causa Raiz das Não Conformidades identificadas em falhas operacionais, implantando e acompanhando os planos de ações definidos, de acordo com os requisitos da norma ISO 9001:2008; Gestor do Calendário de Obrigações Legais da Fundação;  Atender/Auxiliar no suporte ao envio de informações à auditoria externa do Sistema de Gestão da Qualidade. Responsável pelo mapeamento e desenhos dos processos no SESuite.",1,,,5,2,,,[unsupported data type],,,,,[unsupported data type],,,,
8,5,DBA Oracle,DVGT,03/07/2006 - Dias Atuais,"# Instalar e atualizar os servidores e aplicativos ferramentas Oracle; Alocação de memória do sistema e planejamento de requisitos de armazenamento futuros; Criação de estruturas primárias de armazenamento de banco de dados (espaços de tabela) após os desenvolvedores de sistemas terem projetado; Criação de objetos primários (tabelas, visões, índices); Alteração da estrutura de banco de dados, conforme necessário, a partir de informações dadas por desenvolvedores de sistemas; Criar usuários e manter a segurança do sistema; Garantir o cumprimento do contrato de licenciamento da Oracle; Controlar e monitorar o acesso dos usuários ao banco de dados; Monitoramento e otimização do desempenho do banco de dados; Planejamento para backup e recuperação de informações do banco de dados; Manter os dados arquivados; Fazer backup e restaurar o banco de dados; Entrar em contato com Oracle Corporation para o suporte técnico. ",1,03/07/06,01/01/15,1,4,,,[unsupported data type],,,,,[unsupported data type],,,,
27,128,Estagiário,,,"CelosInvest - estruturação do sistema; Cadastramento das obrigações dos investimentos - Celosinvest; Verificação da existência da documentação para fins de envio a terceiros; Atualização de planilha de títulos públicos; Elaboração de planilhas; apresentações; informes de mercado; Atas (reuniões "" CAR""); Auxílio em atividades de demanda extraordinária por parte de integrantes da área de investimentos; Digitalização de Documentos; Construção de Pastas; Arquivo de documentações; Envio de correspondências/ controle / verificação; Minutas/ de análise de investimentos ""secundários"";  ",1,,,,20,,,[unsupported data type],,,,,[unsupported data type],,,,
31,50,Assistente Administrativo,DVGA,03/03/2008,Responsável pela carteira de empréstimo. Auxiliou nas rotinas de tesouraria,1,31/12/12,,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
33,129,Estagiário,Divisão de Gestão Assistencial,2014 - Atual,Cadastro e parametrização de tabelas dos serviços em saúde; Retorno a dúvidas de participantes dos Planos Assistenciais; Recebimento de documentos; Emissão de correspondências via sistema operacional; Cadastro de laudos médicos; Auxílio à auditoria técnica; Auxílio à operacionalização do faturamento de contas médicas; Auxílio à operacionalização do processo de reembolso.,1,,,,20,,,[unsupported data type],,,,,[unsupported data type],,,,
34,48,Assistente Administrativo,Gabinete da Diretoria Executiva,10/04/2007 a 31/12/2007,Secretária Executiva,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
35,48,Analista Junior,Gabinete da Diretoria Executiva,01/01/2008 a 31/12/2010,Secretária Executiva,1,,,,2,,,[unsupported data type],,,,,[unsupported data type],,,,
36,48,Analista Pleno,Divisão de Controles Internos,01/01/2011 a 30/06/2014,Secretária Executiva; Analista na Área de Controles Internos e Compliance; ,1,,,,3,,,[unsupported data type],,,,,[unsupported data type],,,,
37,48,Gerente,Divisão de Controle de Gestão e Planejamento Estratégico,01/07/2014 até a presente data,Gerente da Divisão de Controle de Gestão e Planejamento Estratégico,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
38,42,auxiliar de escritorio A,divisão de emprestimo,23/05/1986 a 01/01/1990,,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
39,42,assistente tecnico administrativo,GDEX,02/01/1990 a 06/07/1995,,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
40,42,advogada,GDEX,07/07/1995,,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
43,92,Assistente Administrativo,DVGI,Desde 15/07/2013,"Elaborar de relatórios: Relatório Mensal de Investimentos; Lâmina de Investimentos e Relatório Trimestral de Imóveis; Elaborar e enviar informações a contabilidade para o registro das aplicações, resgates e rendimentos; Operacionalizar as aplicações e os resgates realizados bem como as transferências bancárias; Registrar informações para cálculo da divergência não planejada dos investimentos; Apurar mensalmente a Rentabilidade por planos e segmentos através do sistema Drive; Operacionalizar os sistemas CM (Contas a Pagar, Contas a Receber e Controle Financeiro); Pesquisar e Tabular dados Econômicos e Financeiros mensalmente, bem como elaborar gráficos e tabelas com as informações; Controlar/gerenciar os imóveis (locação, manutenção, condomínio, entre outros); Controlar contratos e documentação dos imóveis, bem como intermediar negociação das futuras locações.",1,,,7,1,,,[unsupported data type],,,,,[unsupported data type],,,,
44,96,Assistente Administrativo,DVGR,Jan13 - Dez15,"Atendimento aos participantes (telefônico e presencial), realização de  relatórios, participação em planejamentos estratégicos. ",1,01/01/13,30/11/15,8,1,,,[unsupported data type],,,,,[unsupported data type],,,,
62,19,Auxiliar Administrativo I ¿ A              ,Divisão  Cadastro,01/12/1984 a 30/08/1985,,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
63,19,Escrituraria A ¿ C,Divisão  Cadastro,01/09/1985 a 30/11/1986,,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
64,19,Escrituraria A ¿ E                                   ,Divisão  Cadastro,01/12/1986 a  30/07/1988,,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
67,19,Setor de Controle e Registro Cadastro  - chefe,Divisão de Cadastro e Depart.Previdência Atuária     ,01/10/1989 a 31/05/1992,,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
68,19,Escrituraria B - E,Div de benefícios do deprt.de prev e Attuária,01/06/1992 a 31/12/1995 ,,1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
69,19,Técnico Administrativo                            ,Div de benefícios do deprt.de prev e Atuária,01/01/1996 a 30/08/1996,,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
70,19,Técnico em Previdência                          ,Div de benefícios do deprt.de prev e Attuária,01/09/1996 a 05/05/2003,,1,,,,1,,,[unsupported data type],,,,,[unsupported data type],,,,
71,19,Gerente e Analista Previdenciária Sênior,DVGP,06/05/2003 a ,,1,,,9,4,,,[unsupported data type],,,,,[unsupported data type],,,,
78,65,Analista Junior,DVGA,01/02/2011 a 01/05/2014,"¿	Responsável pelas atividades operacionais e de controle da carteira de empréstimos, análise de crédito e de cobrança, mantendo contato freqüente de atendimento e orientação junto aos participantes ativos, assistidos e atendentes regionais por telefone e também via internet. Contribuir também para parametrização e manutenção do sistema de orçamento. ",1,01/02/11,01/05/14,4,2,,,[unsupported data type],,,,,[unsupported data type],,,,
72,141,Analista,DVCI,2014,Gerente da DVCI desde setembro de 2016; Coordenação de pessoas; Auditoria Interna nos macro processos; Coordenação em comissões de sindicância; Coordenação da CDN; Coordenação do CAD; Membro da CTIR; Elaboração de Relatórios e apresentação aos órgãos estatutários.,1,03/11/14,31/08/16,5,4,,,[unsupported data type],,,,,[unsupported data type],,,,
80,80,Atuário Pleno,ASGC/DVGG/DVCI,01/2012 - atual,"> Realizar a interface entre a CELOS e o Atuário Externo; > Proceder às avaliações e reavaliações atuariais periódicas; > Elaborar notas técnicas atuariais relativas aos planos de benefícios e Planos Assistenciais; > Fornecer explicações técnicas a Diretoria e Conselhos sobre o resultado atuarial; > Efetuar estudos para detectar possíveis impactos nas reservas matemáticas dos planos de benefícios, fornecendo pareceres; > Desenvolver fórmulas matemáticas a fim de atender as necessidades dos sistemas previdenciários; > Assessorar a Diretoria na operacionalização da gestão dos planos de benefícios e dos Planos Assistenciais; > Verificar o desempenho da Entidade em relação à meta atuarial, apresentando recomendações de ajustes a serem implementados; > Avaliar e recomendar ações de alinhamento do nível de liquidez dos ativos às exigências do passivo; > Avaliar a adequabilidade das premissas atuariais e econômicas à realidade da Entidade, apresentando recomendações de ajustes a implementar; > Analisar as operações da Entidade, visando à identificação e classificação dos tipos de riscos envolvidos, a avaliação dos controles existentes e a recomendação de novos controles, caso necessário;",1,,,9,15,,,[unsupported data type],,,,,[unsupported data type],,,,
11,63,Assistente Administrativo ,DVGA,02/2011 à 09/2011,"Lançamento de contas a pagar, gestão de pessoas realizando pedido de vale transporte e vale alimentaçãoefeição, elaboração da folha de pagamento dos empregados e assistência à Gerência na elaboração de documentos e relatórios.",1,01/02/11,30/09/11,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
12,63,Analista Junior ,GDEX, 10/2011 até 06/2014,"Secretária dos órgãos estatutários, assessoramento em reuniões, elaboração de atas",1,01/10/11,01/06/14,2,2,,,[unsupported data type],,,,,[unsupported data type],,,,
14,60,Analista Junior,DVGT,2009 a 2014,"Análise, desenvolvimento, implantação, treinamento, manutenção e suporte dos seguintes sistemas:  - Novo Portal de Autoatendimento da Celos; - Sistema de malotes e protocolos (DVGR); - Sistema de CRM (DVGR); - Sistema da Ouvidoria; - Investimento  Atendimento os usuários, elaboração de relatórios, reuniões técnicas e análise de requisitos.",1,03/08/09,31/12/14,1,2,,,[unsupported data type],,,,,[unsupported data type],,,,
17,3,Auxiliar de Escritório,Gerência de Serviços Assistenciais,04/04/1988-31/07/1988,Faturamento médico.,1,04/04/88,31/07/88,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
18,3,"Auxiliar de Escritório ""A""",Gerência de Serviços Assistenciais,01/08/1988-28/02/1989,Faturamento médico.,1,01/08/88,28/02/89,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
19,3,"Auxiliar de Escritório ""C""",Gerência de Serviços Assistenciais,01/03/1989-31/12/1989,Rotinas de Recursos Humanos ,1,01/03/89,31/12/89,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
20,3,"Auxiliar de Escritório ""D""",Gerência de Serviços Assistenciais,01/01/1990-31/03/1990,Rotinas de Recursos Humanos,1,01/01/90,31/03/90,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
21,3,"Assistente Técnico de Administração ""A""",Gerência Administrativa,01/04/1990-31/12/1995,"Rotinas da área de Recursos Humanos, elaboração da Folha de Pagamento dos Empregados.",1,01/04/90,31/12/95,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
48,52,Assistente Administrativo,DVGS,de março de 2008 a maio de 2012,"Responsável pelo faturamento, auditoria administrativa e controle do processo de liberação de exames, internações, procedimentos médico-cirúrgicos e odontológicos, atendimento ao público, responsáveis das áreas de saúde, clínicas, hospitais, UNIMED e UNIODONTO.",1,,,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
49,52,Analista Junior,DVGR,desde 01/06/2012,"Responsável pelo atendimento ao público (nas modalidades: presencial, telefônico, Central de 0800 e por e-mail), suporte no esclarecimento de dúvidas, registro de reclamações, oferecimento de serviços e produtos, realização de pesquisas, prestação de suporte técnico, cobranças, participação em projetos, revisões de textos e publicações da CELOS, entre outros auxílios e informações diversas. ",1,,,8,2,,,[unsupported data type],,,,,[unsupported data type],,,,
54,29,Assistente Administrativo,DVGS,01/10/1996,"Apoio Administrativo a Divisão Assistencial, no setor de Cadastro do Plano de Saúde",1,01/10/96,31/12/05,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
55,29,Analista Pleno,DVGS,01/01/2006,"Analista Administrativo dos Planos Assistenciais, com realização de atividades no Cadastro do Plano de Saúde, atividades do Plano Odontológico e faturamento de contas Médicas.",1,01/01/06,12/07/15,3,3,,,[unsupported data type],,,,,[unsupported data type],,,,
58,2,Programador,DVGT,,Administrar a Rede de Computares Manter os computadores (Desktops e Servidores) em funcionamento; Atualizar servidores e desktops Executar Rotina de Backup Suporte a Usuários ,1,,,1,,,,[unsupported data type],,,,,[unsupported data type],,,,
76,71,ESTÁGIÁRIO,DVGS,Outubro 2011 - Maio 2012,* Elaboração dos processos de na implementação protocolo de documentos na DVGS; * Integração de informações do sistema de procolo com os Sistemas de Gestão; * Arquivo de documentos; * Reembolso de Farmácia;,1,,,3,20,,,[unsupported data type],,,,,[unsupported data type],,,,
77,71,Assistente Administrativo,DVGS,Junho 2012 - Novembro 2015,"* Faturamento Médico UNIMED; * Faturamento, Abertura e Fechamento mensal médico Rede CELOS; * Faturamento, Abertura e Fechamento mensal Odontológico UNIODONTO e Rede CELOS; * Reembolsos Médico/Odontológico/Medicamentos; * Protocolo de documentos; * Programa Sua Saúde",1,,,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
81,80,Gerente,DVGG/DVCI,07/2013 - 10/2016,"> Realizar o monitoramento e controle da aplicação da legislação vigente e das políticas e normas internas da entidade, assegurando que as operações sejam formalizadas dentro de padrões de segurança, evitando riscos perante os órgãos reguladores, bem como pelo desenvolvimento de ações efetivas em relação à concepção, monitoramento e aplicação de instrumentos de regulação e contratos com a finalidade de propiciar um ambiente favorável ao desenvolvimento de negócios; > Coordenar a elaboração e divulgação de normas e políticas da entidade, bem como da legislação emitida pelos órgãos reguladores; > Acompanhar as alterações e novas normas, como também procedimentos estabelecidos pelos órgãos oficiais, zelando pelo cumprimento imediato; > Recomendar a Diretoria Executiva, iniciativas a serem implementadas para a adequada gestão de riscos; > Reportar a Diretoria e Conselhos as fragilidades/erros operacionais, bem como falhas nos controles internos identificados, pelo Compliance, pela coordenação da Gestão da Qualidade e pela Coordenação da Gestão de Riscos, além de ações para sua correção; > Acompanhar o cumprimento das normas contábeis, de investimentos e regulamento do PGA; > Acompanhar os processos de auditoria interna e de auditoria externa da CELOS e da Patrocinadora;  > Acompanhar a execução da Política de Investimentos da CELOS; > Integrar a Comissão de Alocação e Risco  > Coordenar o Comitê de Auditoria; > Auxiliar as diversas áreas na interpretação e aplicação das políticas e legislação; > Pesquisar e analisar cenários, tendências e melhores práticas de mercado referentes à sua área de atuação; > Participar de Comissões Técnicas da ABRAPP ou ANAPAR, contribuindo com a discussão e enriquecimento de assuntos de interesse da CELOS;  > Desenvolver outras atividades correlatas, de ofício ou por indicação da Diretoria Executiva. > Zelar pela imagem institucional da Celos. ",1,,,5,15,,,[unsupported data type],,,,,[unsupported data type],,,,
83,25,Motorista,DVGA,1986,Motorista,1,01/01/86,31/12/99,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
110,14,Analista Pleno,,,Responsável pela Tesouraria,1,,,,3,,,[unsupported data type],,,,,[unsupported data type],,,,
111,38,chefe do setor de serviço gerais.,,,"responsável pela conservação e manutenção dos patrimônio interno e externo da celos, serviços dos motorista copeiras telefonistas recepcionistas office boy  compras de material de expedientes e copa. representava a celos nas reuniões  dos condomínio  externo e interno,  acompanhava as reformas interna e externa nas salas da celos. administrava o serviços da secretaria geral. (apoiava o departamento administrativo. executava os serviços de instalação dos computadores da celos.",1,,,,,,,[unsupported data type],,,,,[unsupported data type],,,,
